Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
,Surviving the Applewhites,Stephanie S. Tolan,,,,9780064410441,,,,,,,,2006/06/01,2006/06/01,,,read,,,,1,,,0,,,,,
,The Chrestomanci Quartet,Diana Wynne Jones,,,,,,,,,,,,2006/06/01,2006/06/01,,,read,,,,1,,,0,,,,,
,The Naming,Alison Croggon,,,,9780763631628,,,,,,,,2006/06/01,2006/06/01,,,read,,,,1,,,0,,,,,
,Magic Steps,Tamora Pierce,,,,9780590396059,,,,,,,,2006/06/01,2006/06/01,,,read,,,,1,,,0,,,,,
,Saint Camber,Katherine Kurtz,,,0345347684,,,,,,,,,2006/06/01,2006/06/01,,,read,,,,1,,,0,,,,,
,The Merlin Conspiracy,Diana Wynne Jones,,,,9780060523206,,,,,,,,2006/06/01,2006/06/01,,,read,,,,1,,,0,,,,,
,Secret Sacrament,Sherryl Jordan,,,,,,,,,,,,2006/06/01,2006/06/01,,,read,,,,1,,,0,,,,,
,The Adventures of Tom Sawyer,Mark Twain,,,,9780143039563,,,,,,,,2006/06/01,2006/06/01,,,read,,,,1,,,0,,,,,
,The Magic Circle,Donna Jo Napoli,,,,9780140374391,,,,,,,,2006/06/01,2006/06/01,,,read,,,,1,,,0,,,,,
,Tailchaser's Song,Tad Williams,,,,9780886779535,,,,,,,,2006/06/01,2006/06/01,,,read,,,,1,,,0,,,,,
,The Outlaws of Sherwood,Robin McKinley,,,,9780441013258,,,,,,,,2006/07/01,2006/07/01,,,read,,,,1,,,0,,,,,
,Follow My Leader,James B. Garfield,,,,9780140364859,,,,,,,,2006/07/01,2006/07/01,,,read,,,,1,,,0,,,,,
,Camber the Heretic,Katherine Kurtz,,,,,,,,,,,,2006/07/01,2006/07/01,,,read,,,,1,,,0,,,,,
,Green Mansions (Dodo Press),W. H. Hudson,,,,9781406560183,,,,,,,,2006/07/01,2006/07/01,,,read,,,,1,,,0,,,,,
